"Techstack","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
"Blockchain, Ethereum, Solidity","https://example.com/blockchain-portfolio"
"AI, Python, OpenCV","https://example.com/ai-python-portfolio"
"Serverless, AWS Lambda, DynamoDB","https://example.com/serverless-portfolio"
"Game Development, Unity, C#","https://example.com/unity-game-portfolio"
"Cloud, AWS, Kubernetes","https://example.com/aws-cloud-portfolio"
"Big Data, Hadoop, Spark","https://example.com/bigdata-portfolio"
"Data Science, R, SQL","https://example.com/data-science-portfolio"
"Cybersecurity, Kali Linux, Metasploit","https://example.com/cybersecurity-portfolio"
"UI/UX, Sketch, Figma","https://example.com/uiux-portfolio"
"Automated Testing, Selenium, Python","https://example.com/automation-testing-portfolio"
"iOS, Swift, SwiftUI","https://example.com/ios-swiftui-portfolio"
"Android, Kotlin, Jetpack Compose","https://example.com/android-jetpack-portfolio"
"Vue.js, Nuxt.js, Firebase","https://example.com/vue-nuxt-portfolio"
"DevOps, Terraform, Kubernetes","https://example.com/terraform-k8s-portfolio"
"Cloud-Native, Docker, Kubernetes","https://example.com/cloud-native-portfolio"
"SEO, HTML, CSS","https://example.com/seo-portfolio"
